line_id,from,to,subsea,exclude,Capacity_GW,model_start_year,model_first_expansion_year,build_rate,cost
TRNBTNXXINDEA,BTNXX,INDEA,FALSE,FALSE,1.98,2020,2030,0,829
TRNBWAXXNAMXX,BWAXX,NAMXX,FALSE,FALSE,0,2030,2030,0,993
TRNBWAXXZAFXX,BWAXX,ZAFXX,FALSE,FALSE,0.615,2020,2030,0,605
TRNBWAXXZMBXX,BWAXX,ZMBXX,FALSE,FALSE,0.25,2020,2030,0,1050
TRNBWAXXZWEXX,BWAXX,ZWEXX,FALSE,FALSE,0.42,2020,2030,0,992
TRNCAFXXCMRXX,CAFXX,CMRXX,FALSE,FALSE,0,2030,2030,0,1017
TRNCAFXXCODXX,CAFXX,CODXX,FALSE,FALSE,0,2030,2030,0,1039
TRNCAFXXCOGXX,CAFXX,COGXX,FALSE,FALSE,0,2030,2030,0,1037
TRNCAFXXSDNXX,CAFXX,SDNXX,FALSE,FALSE,0,2030,2030,0,1455
TRNCAFXXTCDXX,CAFXX,TCDXX,FALSE,FALSE,0,2030,2030,0,999
TRNCANCECANEA,CANCE,CANEA,FALSE,FALSE,0.2,2020,2030,0,1251
TRNCANCECANNO,CANCE,CANNO,FALSE,FALSE,0,2030,2030,0,1357
TRNCANCEUSAMR,CANCE,USAMR,FALSE,FALSE,0,2030,2030,0,856
TRNCANCEUSAWE,CANCE,USAWE,FALSE,FALSE,0,2030,2030,0,915
TRNCANEAUSAMR,CANEA,USAMR,FALSE,FALSE,0,2030,2030,0,1075
TRNCANEAUSANP,CANEA,USANP,FALSE,FALSE,3.68,2020,2030,0,830
TRNCANEAUSARF,CANEA,USARF,FALSE,FALSE,0,2030,2030,0,896
TRNCANEACANNO,CANEA,CANNO,FALSE,FALSE,0,2030,2030,0,1941
TRNCANNOCANWE,CANNO,CANWE,FALSE,FALSE,0,2030,2030,0,1275
TRNCANWEUSAWE,CANWE,USAWE,FALSE,FALSE,3.15,2020,2030,0,1348
TRNCHEXXDEUXX,CHEXX,DEUXX,FALSE,FALSE,4.2,2020,2030,0,878
TRNCHEXXFRAXX,CHEXX,FRAXX,FALSE,FALSE,3.7,2020,2030,0,797
TRNCHEXXITAXX,CHEXX,ITAXX,FALSE,FALSE,3.75,2020,2030,0,884
TRNCHLXXPERXX,CHLXX,PERXX,FALSE,FALSE,0,2030,2030,0,1675
TRNCHNCECHNEA,CHNCE,CHNEA,FALSE,FALSE,0,2030,2030,0,886
TRNCHNCECHNNO,CHNCE,CHNNO,FALSE,FALSE,26.4743,2020,2030,0,1049
TRNCHNCECHNNW,CHNCE,CHNNW,FALSE,FALSE,30.4,2020,2030,0,869
TRNCHNCECHNSW,CHNCE,CHNSW,FALSE,FALSE,23.5,2020,2030,0,1015
TRNCHNCECHNEA,CHNCE,CHNEA,FALSE,FALSE,0,2030,2030,0,886
TRNCHNEACHNNO,CHNEA,CHNNO,FALSE,FALSE,14,2020,2030,0,1057
TRNCHNEACHNNW,CHNEA,CHNNW,FALSE,FALSE,18.4,2020,2030,0,1124
TRNCHNEACHNSO,CHNEA,CHNSO,FALSE,FALSE,0,2030,2030,0,1117
TRNCHNEACHNSW,CHNEA,CHNSW,FALSE,FALSE,38.4,2020,2030,0,1318
TRNCHNEATWNXX,CHNEA,TWNXX,TRUE,TRUE,0,2030,2030,0,974
TRNCHNNECHNNO,CHNNE,CHNNO,FALSE,FALSE,11.5,2020,2030,0,859
TRNCHNNEPRKXX,CHNNE,PRKXX,FALSE,FALSE,0,2030,2030,0,743
TRNCHNNERUSFE,CHNNE,RUSFE,FALSE,FALSE,0.95,2020,2030,0,896
TRNCHNNERUSSI,CHNNE,RUSSI,FALSE,FALSE,0,2030,2030,0,2033
TRNCHNCECHNNO,CHNCE,CHNNO,FALSE,FALSE,26.4743,2020,2030,0,1049
TRNCHNNECHNNO,CHNNE,CHNNO,FALSE,FALSE,11.5,2020,2030,0,859
TRNCHNNOCHNNW,CHNNO,CHNNW,FALSE,FALSE,4,2020,2030,0,987
TRNCHNNOKORXX,CHNNO,KORXX,TRUE,FALSE,0,2030,2030,0,1130
TRNCHNNOMNGXX,CHNNO,MNGXX,FALSE,FALSE,0,2030,2030,0,1100
TRNCHNNOPRKXX,CHNNO,PRKXX,FALSE,FALSE,0,2030,2030,0,939
TRNCHNNORUSSI,CHNNO,RUSSI,FALSE,FALSE,0,2030,2030,0,1905
TRNCHNEACHNNW,CHNEA,CHNNW,FALSE,FALSE,18.4,2020,2030,0,1124
TRNCHNNOCHNNW,CHNNO,CHNNW,FALSE,FALSE,4,2020,2030,0,987
TRNCHNNWCHNSW,CHNNW,CHNSW,FALSE,FALSE,1.5,2020,2030,0,849
TRNCHNNWINDNO,CHNNW,INDNO,FALSE,TRUE,0,2030,2030,0,1938
TRNCHNNWKAZXX,CHNNW,KAZXX,FALSE,FALSE,0,2030,2030,0,1881
TRNCHNNWKGZXX,CHNNW,KGZXX,FALSE,FALSE,0,2030,2030,0,1960
TRNCHNNWMNGXX,CHNNW,MNGXX,FALSE,FALSE,0,2030,2030,0,1259
TRNCHNNWPAKXX,CHNNW,PAKXX,FALSE,FALSE,0,2030,2030,0,2425
TRNCHNNWRUSSI,CHNNW,RUSSI,FALSE,FALSE,0,2030,2030,0,1938
TRNCHNNWTJKXX,CHNNW,TJKXX,FALSE,FALSE,0,2030,2030,0,2176
TRNCHNCECHNSO,CHNCE,CHNSO,FALSE,FALSE,0,2030,2030,0,952
TRNCHNNWCHNSO,CHNNW,CHNSO,FALSE,FALSE,0,2030,2030,0,1162
TRNCHNSOCHNSW,CHNSO,CHNSW,FALSE,FALSE,52.1,2020,2030,0,1130
TRNCHNSOVNMNO,CHNSO,VNMNO,FALSE,FALSE,0,2030,2030,0,935
TRNCHNCECHNSW,CHNCE,CHNSW,FALSE,FALSE,23.5,2020,2030,0,1015
TRNCHNEACHNSW,CHNEA,CHNSW,FALSE,FALSE,38.4,2020,2030,0,1318
TRNCHNNOCHNSW,CHNNO,CHNSW,FALSE,FALSE,4,2020,2030,0,1255
TRNCHNNWCHNSW,CHNNW,CHNSW,FALSE,FALSE,1.5,2020,2030,0,849
TRNCHNSOCHNSW,CHNSO,CHNSW,FALSE,FALSE,52.1,2020,2030,0,1130
TRNCHNSWINDNE,CHNSW,INDNE,FALSE,TRUE,0,2030,2030,0,1159
TRNCHNSWINDNO,CHNSW,INDNO,FALSE,TRUE,0,2030,2030,0,1734
TRNCHNSWLAOXX,CHNSW,LAOXX,FALSE,FALSE,0,2030,2030,0,1211
TRNCHNSWMMRXX,CHNSW,MMRXX,FALSE,FALSE,0,2030,2030,0,1352
TRNCHNSWNPLXX,CHNSW,NPLXX,FALSE,FALSE,0,2030,2030,0,1400
TRNCHNSWPAKXX,CHNSW,PAKXX,FALSE,FALSE,0,2030,2030,0,2217
TRNCHNSWVNMNO,CHNSW,VNMNO,FALSE,FALSE,0,2030,2030,0,1063
TRNCIVXXGHAXX,CIVXX,GHAXX,FALSE,FALSE,0.28,2020,2030,0,770
TRNCIVXXGINXX,CIVXX,GINXX,FALSE,FALSE,0,2030,2030,0,1098
TRNCIVXXLBRXX,CIVXX,LBRXX,FALSE,FALSE,0,2030,2030,0,917
TRNCIVXXMLIXX,CIVXX,MLIXX,FALSE,FALSE,0,2030,2030,0,991
TRNCMRXXCOGXX,CMRXX,COGXX,FALSE,FALSE,0,2030,2030,0,1075
TRNCMRXXGABXX,CMRXX,GABXX,FALSE,FALSE,0,2030,2030,0,762
TRNCMRXXGNQXX,CMRXX,GNQXX,FALSE,FALSE,0,2030,2030,0,556
TRNCMRXXNGAXX,CMRXX,NGAXX,FALSE,FALSE,0,2030,2030,0,913
TRNCMRXXTCDXX,CMRXX,TCDXX,FALSE,FALSE,0,2030,2030,0,1057
TRNCODXXCOGXX,CODXX,COGXX,FALSE,FALSE,0,2030,2030,0,198
TRNCODXXRWAXX,CODXX,RWAXX,FALSE,FALSE,0.03,2020,2030,0,1317
TRNCODXXTZAXX,CODXX,TZAXX,FALSE,FALSE,0,2030,2030,0,1764
TRNCODXXUGAXX,CODXX,UGAXX,FALSE,FALSE,0,2030,2030,0,1463
TRNCODXXZMBXX,CODXX,ZMBXX,FALSE,FALSE,0.827,2020,2030,0,1415
TRNCOGXXGABXX,COGXX,GABXX,FALSE,FALSE,0,2030,2030,0,948
TRNCOGXXRWAXX,COGXX,RWAXX,FALSE,FALSE,0,2030,2030,0,1319
TRNCOGXXTZAXX,COGXX,TZAXX,FALSE,FALSE,0,2030,2030,0,1767
TRNCOLXXECUXX,COLXX,ECUXX,FALSE,FALSE,0.613,2020,2030,0,1026
TRNCOLXXPANXX,COLXX,PANXX,FALSE,FALSE,0,2030,2030,0,921
TRNCOLXXPERXX,COLXX,PERXX,FALSE,FALSE,0,2030,2030,0,1421
TRNCOLXXVENXX,COLXX,VENXX,FALSE,FALSE,0.38,2020,2030,0,1032
TRNCRIXXNICXX,CRIXX,NICXX,FALSE,FALSE,0.3,2020,2030,0,710
TRNCRIXXPANXX,CRIXX,PANXX,FALSE,FALSE,0.3,2020,2030,0,808
TRNCYPXXEGYXX,CYPXX,EGYXX,TRUE,FALSE,0,2030,2030,0,929
TRNCYPXXGRCXX,CYPXX,GRCXX,TRUE,FALSE,0,2030,2030,0,1108
TRNCYPXXISRXX,CYPXX,ISRXX,TRUE,FALSE,0,2030,2030,0,793
TRNCYPXXLBNXX,CYPXX,LBNXX,TRUE,FALSE,0,2030,2030,0,721
TRNCYPXXSYRXX,CYPXX,SYRXX,TRUE,FALSE,0,2030,2030,0,769
TRNCYPXXTURXX,CYPXX,TURXX,TRUE,FALSE,0,2030,2030,0,1016
TRNCZEXXDEUXX,CZEXX,DEUXX,FALSE,FALSE,1.6,2020,2030,0,612
TRNCZEXXPOLXX,CZEXX,POLXX,FALSE,FALSE,1.4,2020,2030,0,810
TRNCZEXXSVKXX,CZEXX,SVKXX,FALSE,FALSE,1.8,2020,2030,0,629
TRNDEUXXDNKXX,DEUXX,DNKXX,FALSE,FALSE,3.7,2020,2030,0,726
TRNDEUXXFRAXX,DEUXX,FRAXX,FALSE,FALSE,3,2020,2030,0,970
TRNDEUXXGBRXX,DEUXX,GBRXX,TRUE,FALSE,0,2030,2030,0,1118
TRNDEUXXLUXXX,DEUXX,LUXXX,FALSE,FALSE,2.3,2020,2030,0,848
TRNDEUXXNLDXX,DEUXX,NLDXX,FALSE,FALSE,3.95,2020,2030,0,837
TRNDEUXXNORXX,DEUXX,NORXX,TRUE,FALSE,1.4,2020,2030,0,1063
TRNDEUXXPOLXX,DEUXX,POLXX,FALSE,FALSE,1,2020,2030,0,810
TRNDEUXXSWEXX,DEUXX,SWEXX,TRUE,FALSE,0.615,2020,2030,0,1048
TRNDJIXXERIXX,DJIXX,ERIXX,FALSE,TRUE,0,2030,2030,0,855
TRNDJIXXETHXX,DJIXX,ETHXX,FALSE,FALSE,0.18,2020,2030,0,829
TRNDJIXXSOMXX,DJIXX,SOMXX,FALSE,FALSE,0,2030,2030,0,1064
TRNDJIXXYEMXX,DJIXX,YEMXX,TRUE,FALSE,0,2030,2030,0,831
TRNDNKXXGBRXX,DNKXX,GBRXX,TRUE,FALSE,0,2030,2030,0,1131
TRNDNKXXNLDXX,DNKXX,NLDXX,TRUE,FALSE,0.7,2020,2030,0,938
TRNDNKXXNORXX,DNKXX,NORXX,TRUE,FALSE,1.64,2020,2030,0,859
TRNDNKXXSWEXX,DNKXX,SWEXX,TRUE,FALSE,2.45,2020,2030,0,881
TRNDOMXXHTIXX,DOMXX,HTIXX,FALSE,TRUE,0,2030,2030,0,577
TRNDZAXXESHXX,DZAXX,ESHXX,FALSE,FALSE,0,2030,2030,0,1409
TRNDZAXXESPXX,DZAXX,ESPXX,TRUE,FALSE,2,2020,2030,0,993
TRNDZAXXFRAXX,DZAXX,FRAXX,TRUE,FALSE,0,2030,2030,0,1357
TRNDZAXXITAXX,DZAXX,ITAXX,TRUE,FALSE,0,2030,2030,0,1152
TRNDZAXXLBYXX,DZAXX,LBYXX,FALSE,FALSE,0,2030,2030,0,1033
TRNDZAXXMARXX,DZAXX,MARXX,FALSE,FALSE,1.4,2020,2030,0,1039
TRNDZAXXMLIXX,DZAXX,MLIXX,FALSE,FALSE,0,2030,2030,0,1868
TRNDZAXXMRTXX,DZAXX,MRTXX,FALSE,FALSE,0,2030,2030,0,1819
TRNDZAXXNERXX,DZAXX,NERXX,FALSE,FALSE,0,2030,2030,0,1729
TRNDZAXXTUNXX,DZAXX,TUNXX,FALSE,FALSE,0.28,2020,2030,0,862
