country,iso,region_code,node,Population,Centroid_Lat,Centroid_Lon,Pop_Lat,Pop_Lon,Node_Verbose,region_description
Spain,ESP,XX,ESPXX,6211000,40.38997543,-3.553604515,40.4169,-3.7033,Spain,
Estonia,EST,XX,ESTXX,438341,59.4372,24.7453,59.4372,24.7453,Estonia,
Ethiopia,ETH,XX,ETHXX,3041002,8.629030994,39.62473654,9.03,38.74,Ethiopia,
Finland,FIN,XX,FINXX,1268296,64.50727855,26.27261643,60.1708,24.9375,Finland,
France,FRA,XX,FRAXX,11060000,46.62469296,2.459606421,48.8567,2.3522,France,
Gabon,GAB,XX,GABXX,797003,-0.622602649,11.79542063,0.3903,9.4542,Gabon,
United Kingdom,GBR,XX,GBRXX,11262000,51.5072,-0.1275,51.5072,-0.1275,United Kingdom of Great Britain and Northern Ireland,
Georgia,GEO,XX,GEOXX,1118035,42.17608505,43.5193205,41.7225,44.7925,Georgia,
Ghana,GHA,XX,GHAXX,2388000,5.55,-0.2,5.55,-0.2,Ghana,
Guinea,GIN,XX,GINXX,1667864,10.43613422,-10.92110935,9.5092,-13.7122,Guinea,
Gambia,GMB,XX,GMBXX,413397,13.4531,-16.5775,13.4531,-16.5775,,
Guinea-Bissau,GNB,XX,GNBXX,492004,12.05544749,-14.91771169,11.85,-15.5667,Guinea-Bissau,
Equatorial Guinea,GNQ,XX,GNQXX,250770,1.565006583,10.46458179,1.865,9.77,Equatorial Guinea,
Greece,GRC,XX,GRCXX,3041131,39.47356038,22.57828214,37.9842,23.7281,Greece,
Greenland,GRL,XX,GRLXX,18326,60.27083225,-44.72083045,60.27083225,-44.72083045,,
Guatemala,GTM,XX,GTMXX,2934841,15.69746663,-90.35404831,14.6099,-90.5252,Guatemala,
French Guiana,GUF,XX,GUFXX,61550,3.930921009,-53.23161241,4.933,-52.33,French Guiana,
Guyana,GUY,XX,GUYXX,200500,6.8058,-58.1508,6.8058,-58.1508,,
Honduras,HND,XX,HNDXX,1682725,14.81733385,-86.61535758,14.1,-87.2167,Honduras,
Croatia,HRV,XX,HRVXX,809268,45.13633668,16.41248911,45.8167,15.9833,Croatia,
Haiti,HTI,XX,HTIXX,2773553,18.5333,-72.3333,18.5333,-72.3333,,
Hungary,HUN,XX,HUNXX,2997958,47.16747903,19.41463251,47.4925,19.0514,Hungary,
Indonesia,IDN,JW,IDNJW,33756000,-7.299365156,109.9417746,-6.175,106.8275,Indonesia,
Indonesia,IDN,KA,IDNKA,753370,-0.211017293,113.9952202,-0.5,117.1378,Indonesia,
Indonesia,IDN,ML,IDNML,372249,0.869536386,128.0158754,-3.7,128.1667,Indonesia,
Indonesia,IDN,NU,IDNNU,1779122,-8.631496711,117.8575357,-8.65,115.2167,Indonesia,
Indonesia,IDN,PP,IDNPP,413283,-4.016840775,137.4640315,-2.533,140.717,Indonesia,
Indonesia,IDN,SL,IDNSL,1338663,-2.014185092,121.1123333,-5.1619,119.4362,Indonesia,
Indonesia,IDN,SM,IDNSM,3632000,-0.456113635,101.5212236,3.5894,98.6739,Indonesia,
India,IND,EA,INDEA,18502000,22.5675,88.37,22.5675,88.37,India - East,
India,IND,NE,INDNE,1116267,26.1722,91.7458,26.1722,91.7458,India - Northeast,
India,IND,NO,INDNO,32226000,28.50206713,76.73261986,28.61,77.23,India - North,
India,IND,SO,INDSO,15386000,14.52920535,78.11796277,12.9789,77.5917,India - South,
India,IND,WE,INDWE,24973000,21.6937639,76.78466634,19.0761,72.8775,India - West,
Ireland,IRL,XX,IRLXX,1173179,53.17570403,-8.148837613,53.35,-6.2603,Ireland,
Iran,IRN,XX,IRNXX,14148000,32.56443671,54.30450996,35.6892,51.3889,Iran,
Iraq,IRQ,XX,IRQXX,6183000,33.04686876,43.77542139,33.3153,44.3661,Iraq,
Iceland,ISL,XX,ISLXX,135688,64.98282727,-18.57893053,64.1467,-21.94,Iceland,
Israel & Palestina,ISR,XX,ISRXX,1388400,31.45930346,35.013543,32.08,34.78,Israel,
Italy,ITA,XX,ITAXX,2872800,43.52231674,12.16397856,41.8931,12.4828,Italy,
Jordan,JOR,XX,JORXX,4007526,31.24465371,36.78638995,31.9497,35.9328,Jordan,
Japan,JPN,CE,JPNCE,15126000,34.6939,135.5022,34.6939,135.5022,,
Japan,JPN,HO,JPNHO,1961690,43.0667,141.35,43.0667,141.35,,
Japan,JPN,KY,JPNKY,2286000,33.5833,130.4,33.5833,130.4,,
Japan,JPN,SH,JPNSH,506743,33.8333,132.7667,33.8333,132.7667,,
Japan,JPN,TO,JPNTO,37732000,35.6897,139.6922,35.6897,139.6922,,
Kazakhstan,KAZ,XX,KAZXX,1916822,48.15795576,67.25883617,43.2775,76.8958,Kazakhstan,
Kenya,KEN,XX,KENXX,5545000,0.554886619,37.84485847,-1.2864,36.8172,Kenya,
Kyrgyzstan,KGZ,XX,KGZXX,1074075,41.46570705,74.53658343,42.8747,74.6122,Kyrgystan,
Cambodia,KHM,XX,KHMXX,2129371,12.71265457,104.9186366,11.5694,104.9211,Cambodia,
South Korea,KOR,XX,KORXX,23016000,36.44877259,127.8448737,37.56,126.99,Korea (Democratic People's Republic of),
Kosovo,KOS,XX,KOSXX,161751,42.6633,21.1622,42.6633,21.1622,,
Kuwait,KWT,XX,KWTXX,3000000,29.32632288,47.57777269,29.3697,47.9783,Kuwait,
Laos,LAO,XX,LAOXX,948487,18.49689545,103.7665453,17.9667,102.6,Lao People's Democratic Republic,
Lebanon,LBN,XX,LBNXX,361366,33.92106874,35.8924699,33.8869,35.5131,Lebanon,
Liberia,LBR,XX,LBRXX,1021762,6.444476181,-9.306557763,6.3133,-10.8014,Liberia,
Libya,LBY,XX,LBYXX,1293016,27.04054556,18.03095756,32.8872,13.1914,Libya,
Sri Lanka,LKA,XX,LKAXX,2323826,7.616668262,80.698501,6.9344,79.8428,Sri Lanka,
Lesotho,LSO,XX,LSOXX,519186,-29.58297691,28.24551731,-29.31,27.48,Lesotho,
Lithuania,LTU,XX,LTUXX,708203,55.33486135,23.908221,54.6872,25.28,Lithuania,
Luxembourg,LUX,XX,LUXXX,132780,49.77696347,6.093063038,49.6117,6.1319,Luxembourg,
Latvia,LVA,XX,LVAXX,920643,56.85293162,24.93142925,56.9489,24.1064,Latvia,
Morocco,MAR,XX,MARXX,4370000,31.84740337,-6.276188993,33.5333,-7.5833,Morocco,
Moldova,MDA,XX,MDAXX,702300,47.20467676,28.46846064,47.0228,28.8353,Moldova,
Mexico,MEX,XX,MEXXX,21804000,23.94324092,-102.528737,19.4333,-99.1333,Mexico,
Macedonia,MKD,XX,MKDXX,640000,41.59923186,21.69771488,41.9961,21.4317,North Macedonia,
Mali,MLI,XX,MLIXX,2009109,17.35549917,-3.522342254,12.6458,-7.9922,Mali,
Malta,MLT,XX,MLTXX,480134,35.88968685,14.43793819,35.8983,14.5125,Malta,
Myanmar,MMR,XX,MMRXX,5209541,21.20596974,96.51828802,16.795,96.16,Myanmar,
Montenegro,MNE,XX,MNEXX,150977,42.77700853,19.23854506,42.4413,19.2629,Montenegro,
Mongolia,MNG,XX,MNGXX,1396288,46.83623561,103.0674438,47.9203,106.9172,Mongolia,
Mozambique,MOZ,XX,MOZXX,1191613,-25.9667,32.5833,-25.9667,32.5833,Mozambique,
Mauritania,MRT,XX,MRTXX,1077169,20.26404438,-10.33471525,18.0858,-15.9785,Mauritania,
Malawi,MWI,XX,MWIXX,1121720,-13.21369816,34.30166872,-13.9833,33.7833,Malawi,
Malaysia,MYS,PE,MYSPE,8911000,4.035568597,102.1787887,3.1478,101.6953,Malaysia,
Malaysia,MYS,SH,MYSSH,452058,5.33654664,117.1165011,5.975,116.0725,Malaysia,
Malaysia,MYS,SK,MYSSK,325132,2.599364914,113.3362267,1.5575,110.3439,Malaysia,
Namibia,NAM,XX,NAMXX,322500,-22.13772321,17.22229329,-22.57,17.0836,Namibia,
Niger,NER,XX,NERXX,1026848,17.42344887,9.401354631,13.515,2.1175,Niger,
Nigeria,NGA,XX,NGAXX,16637000,9.617324131,8.108524438,6.455,3.3841,Nigeria,
Nicaragua,NIC,XX,NICXX,1028808,12.93282359,-85.01437766,12.1544,-86.2738,Nicaragua,
Netherlands,NLD,XX,NLDXX,1459402,52.25602025,5.652414398,52.3728,4.8936,Netherlands,
Norway,NOR,XX,NORXX,1064235,64.23470982,13.9782624,59.9133,10.7389,Norway,
Nepal,NPL,XX,NPLXX,975453,28.25932313,83.94561026,27.7172,85.324,Nepal,
Oman,OMN,XX,OMNXX,1421409,20.56072435,56.09089168,23.6139,58.5922,Oman,
Pakistan,PAK,XX,PAKXX,15738000,29.97775866,69.40188454,24.86,67.01,Pakistan,
Panama,PAN,XX,PANXX,1500189,8.518318742,-80.07976206,8.9833,-79.5167,Panama,
Peru,PER,XX,PERXX,10320000,-9.171978521,-74.35867892,-12.06,-77.0375,Peru,
Philippines,PHL,LU,PHLLU,24922000,15.94914896,121.4213815,14.5958,120.9772,Philippines,
Philippines,PHL,MI,PHLMI,1776949,7.658677237,124.8299045,7.0667,125.6,Philippines,
Philippines,PHL,VI,PHLVI,964169,10.02795288,123.0046285,10.32,123.75,Philippines,
Papua New Guinea,PNG,XX,PNGXX,700000,-6.614633663,144.2589315,-9.4789,147.1494,Papua New Guinea,
Poland,POL,XX,POLXX,1860281,52.13008475,19.39299516,52.23,21.0111,Poland,
North Korea,PRK,XX,PRKXX,2863000,40.13729227,127.1691019,39.0194,125.7381,North Korea,
Portugal,PRT,XX,PRTXX,2719000,39.6859111,-7.963916957,38.7253,-9.15,Portugal,
Paraguay,PRY,XX,PRYXX,524190,-23.24452279,-58.39119134,-25.3,-57.6333,Paraguay,
Qatar,QAT,XX,QATXX,1186023,25.28418816,51.19163867,25.2867,51.5333,Qatar,
Romania,ROU,XX,ROUXX,1883425,45.84001507,24.98565451,44.4325,26.1039,Romania,
Russia,RUS,CE,RUSCE,17332000,54.86169262,38.11446937,55.7558,37.6178,Russia - Central Federal District,
Russia,RUS,FE,RUSFE,606589,63.10654337,139.4198373,43.1333,131.9,Russia - Far Eastern Federal District,
Russia,RUS,MV,RUSMV,1243500,55.4970523,51.57009313,55.7964,49.1089,Russia - Volga Federal District,
Russia,RUS,NW,RUSNW,5384342,59.95,30.3167,59.95,30.3167,Russia - Northwestern Federal District,
Russia,RUS,SI,RUSSI,1625631,61.61896612,96.98990766,55.0333,82.9167,Russia - Siberian Federal District,
Russia,RUS,SO,RUSSO,1137704,46.49447376,43.53614697,47.2333,39.7,Russia - South,
Russia,RUS,UR,RUSUR,1468833,63.08817518,70.74517627,56.8356,60.6128,Russia - Ural federal district,
Rwanda,RWA,XX,RWAXX,1156663,-2.001181385,29.92630177,-1.9536,30.0606,Rwanda,
Saudi Arabia,SAU,XX,SAUXX,7237000,24.12153053,44.54466797,24.6333,46.7167,Saudi Arabia,
Sudan,SDN,XX,SDNXX,7869000,16.04849354,30.00544151,15.5006,32.56,Sudan,
Senegal,SEN,XX,SENXX,1438725,14.35888496,-14.47148562,14.6928,-17.4467,Senegal,
Singapore,SGP,XX,SGPXX,5983000,1.357439209,103.8091197,1.3,103.8,Singapore,
Sierra Leone,SLE,XX,SLEXX,951000,8.564590122,-11.78090775,8.4844,-13.2344,Sierra Leone,
El Salvador,SLV,XX,SLVXX,567698,13.73257824,-88.87071197,13.6989,-89.1914,El Salvador,
Somalia,SOM,XX,SOMXX,4249083,6.068945409,45.86982467,2.0392,45.3419,Somalia,
Serbia,SRB,XX,SRBXX,1378682,44.22627653,20.78172182,44.82,20.46,Serbia,
Suriname,SUR,XX,SURXX,223757,4.13647418,-55.91533379,5.8522,-55.2039,Suriname,
Slovakia,SVK,XX,SVKXX,475503,48.7097757,19.48344002,48.1439,17.1097,Slovakia,
Slovenia,SVN,XX,SVNXX,286745,46.12398239,14.81686361,46.0514,14.5061,Slovenia,
Sweden,SWE,XX,SWEXX,1611776,62.83543578,16.74571311,59.3294,18.0686,Sweden,
